Words,Counts
ואגרות,1
ואולי,2
ואומרים,2
ואז,12
ואזי,1
ואזעקה,1
ואזעקות,1
ואח,2
ואחכ,5
ואחרי,1
ואחת,1
ואי,1
ואיום,2
ואיזה,2
ואיך,2
ואיכותי,1
ואילך,1
ואילם,1
ואין,5
ואינני,1
ואיפה,2
ואיפשרו,1
ואלו,1
ואם,18
ואמא,1
ואמין,1
ואמר,1
ואמרה,1
ואמרו,1
ואמרתי,1
ואנדרואיד,1
ואנו,1
ואני,12
ואנרגיות,1
ואנשים,1
ואף,1
ואפילו,3
ואפשר,3
ואפשרי,2
וארשום,1
ואשמח,1
ואת,6
ואתה,2
ואתי,1
ואתם,1
ובאותו,1
ובאיזה,2
ובאילו,1
ובאמת,1
ובאתי,1
ובגדול,1
ובגודל,1
ובגלל,1
ובהזמנה,1
ובהמשך,1
ובהצלחה,2
ובהתאם,1
ובוא,1
ובודקים,1
ובוודאות,1
ובוחרים,1
ובזה,1
ובזכותי,1
ובזמן,1
ובחווית,1
ובחיבוק,1
ובחיוך,1
ובחנויות,1
ובט,1
ובטוח,2
ובטוחה,2
וביחד,1
ובין,2
וביקשה,1
וביקשתי,1
ובישראל,1
ובכבוד,1
ובכוחנות,1
ובכל,2
ובכלל,1
ובלי,3
ובמקביל,1
ובמשפט,1
ובנוסף,2
ובעוד,1
ובעיה,1
ובעיות,1
ובעיקר,2
ובעל,1
ובעצמו,2
ובפרט,2
ובצירוף,1
ובצעו,1
ובצפון,1
ובקושי,1
ובקליטה,1
וברגע,1
וברוב,1
וברור,2
וברשות,1
ובשאר,2
ובתכלס,1
ובתמלול,1
וגם,28
וגנר,4
ודבר,2
ודגם,1
והאזעקות,1
והביטחון,1
והבנה,4
והבנקים,1
והגדרת,1
והגדרתם,1
והדליית,1
והדעות,1
והדרכה,1
וההגדרה,1
וההנהלה,1
וההתכתבות,1
וההתנהלות,1
והוא,1
והודעות,2
והוחלט,1
והוציאו,1
והחזקה,1
והחטופים,1
והחירשים,1
והחישובים,1
והחפירות,1
והחשוב,1
והטעויות,1
והיא,5
והיגע,1
והיה,1
והיו,2
והיוזמה,1
והיות,1
והייתם,1
והיכן,1
והיתרונות,1
והכי,1
והלחץ,1
והם,4
והמחדלים,1
והמחירים,1
והמידע,1
והמכשיר,1
והמלצה,1
והמלצות,1
והמתנדבים,1
והן,2
והנכם,2
והנרצחים,1
והסירה,1
והעבירו,1
והעידוד,1
והעיניים,1
והעיקר,2
והעיריות,1
והעלות,1
והעמקים,1
והעצבים,1
והפיצו,2
והפניה,1
והפתרון,1
והצמידים,1
והצפירה,1
והקליטה,1
והרווחה,1
והרי,1
והשאירו,2
והשאלות,1
והשהיה,1
והשטויות,1
והשיחות,1
והשיתוף,1
והשעון,2
והשרות,1
והתגובות,1
והתיאורים,1
והתלונות,1
והתמימות,1
והתנהלות,1
והתנסות,1
והתפעול,1
והתקלקל,1
וואו,2
וואוו,1
וואטסאפ,8
וואטספ,2
וואי,1
וואלה,3
וואסטאפ,1
וואסטפ,1
וואצאפ,2
וובר,1
ווטסאפ,9
ווטצאפ,1
וויכוחים,2
וזה,26
וזהו,4
וזו,2
וזול,1
וזכאויות,1
וזקוקים,1
וחבל,2
וחברים,3
וחוסר,2
וחזק,1
וחזרה,1
וחיבור,1
וחיי,1
וחיסרון,1
וחירש,1
וחירשים,4
וחלופה,1
וחלילה,1
וחלק,6
וחס,1
וחסוי,2
וחצי,4
וחרשים,5
וחשבונית,1
וחשוב,3
וטוב,5
וטובים,1
וטועים,1
וטעייה,1
וטרם,1
וידאו,4
וידע,1
ויוכלו,1
ויום,2
ויוצרים,1
ויזדכה,1
ויחליפו,1
וייבחנו,1
ויכוח,2
ויכוחים,1
ויכול,1
ויכולות,1
ויכולים,1
ויכתוב,1
וילווה,1
וימים,1
ויסדרו,1
ויסייע,1
ויסתפקו,1
ויעדכן,1
ויעדכנו,1
ויעיל,1
ויצרן,1
ויקירי,1
ויקנה,1
וירטואלי,1
ויש,13
וישמעו,1
ויתריעו,1
וכ,2
וכאן,1
וכבדי,13
וכבר,2
וכדבריך,1
וכדו,1
וכדומה,8
וכו,7
וכוכביות,1
וכיבדתי,1
וכיול,1
וכך,4
וכל,15
וכמה,3
וכמובן,4
וכן,3
וכעת,2
וכשיהיה,1
וכתוצאה,1
ולא,50
ולאחר,3
ולאנשים,1
ולאשר,1
ולבוא,1
ולבחור,1
ולבכות,1
ולבקש,3
ולברר,1
ולגלול,1
ולגלות,1
ולדייק,1
ולדעת,1
ולדעתי,2
ולה,1
ולהאזין,1
ולהביא,1
ולהבין,3
ולהגדיר,3
ולהגיד,1
ולהזדכות,1
ולהחזיק,1
ולהחמרה,1
ולהיות,4
ולהיפך,1
ולהסתפק,1
ולהעביר,1
ולהפיץ,1
ולהפעיל,1
ולהצטייד,1
ולהציע,1
ולהרגיש,1
ולהתאים,1
ולהתדיין,1
ולהתחשב,1
ולהתלונן,1
ולהתמודדות,1
ולהתנהל,1
ולהתנסות,1
ולהתנתק,1
ולהתעקש,2
ולהתקשר,1
ולוודא,1
ולומר,1
ולזכור,1
ולחכות,1
ולחלוטין,1
ולחשוב,1
ולחתום,1
ולך,2
ולכולם,2
ולכן,4
ולמי,1
ולמסור,1
ולמתן,1
ולנו,1
ולנצל,1
ולסמן,1
ולעבור,1
ולעיתים,1
ולעשות,1
ולעשייה,1
ולפי,2
ולפני,1
ולפעמים,1
ולפתח,2
ולצערי,2
ולקבל,5
ולקחו,1
ולקנות,1
ולשגע,1
ולשכנע,1
ולשלוח,1
ולשמור,1
ולשנות,1
ומאז,3
ומבינים,1
ומבקשים,1
ומגדל,1
ומגוונים,1
ומגיע,1
ומגיעות,1
ומגיעים,1
ומה,9
ומהבב,1
ומהיר,1
ומהירות,2
ומהמושלם,1
ומהצפון,1
ומוגבלות,1
ומוות,1
ומוזמנות,1
ומול,2
ומוסיף,1
ומוערכת,1
ומוצלח,1
ומוקדי,4
ומוקפצים,1
ומזרח,1
ומחוברים,1
ומחזקת,1
ומחכים,1
ומחפשים,1
ומטומטמים,1
ומטפלים,1
ומי,2
ומיח,1
ומיחא,1
ומילה,1
ומים,1
ומכבד,1
ומכין,1
ומכיר,1
ומכשירי,1
וממושך,1
וממש,3
וממשיך,1
ומנויים,1
ומנסה,1
ומנסים,1
ומסודר,1
ומספר,1
ומסר,1
ומעבר,1
ומעלה,3
ומענה,1
ומעצר,1
ומערומיו,1
ומפסיקים,1
ומפרסם,1
ומצד,1
ומצדיעה,1
ומקבל,2
ומקבלים,2
ומקווה,1
ומקומות,1
ומראש,1
ומרוצה,1
ומשדרת,1
ומשווק,1
ומשלמת,1
ומשם,2
ומשניה,1
ומשפר,1
ומשפרים,1
ומתאים,1
ומתברר,1
ומתורגם,1
ומתי,1
ומתמיד,1
ומתנדבות,1
ומתנתקים,1
ומתפקד,1
ומתקשה,1
ומתקשים,1
ומתרגלים,1
ומתריע,1
ונגדה,1
ונגיש,1
ונדרש,1
ונהיה,1
ונוח,1
ונושאים,1
ונחזור,4
וניישר,1
וניכנס,1
וניסה,2
וניצור,1
ונכנס,1
ונכנסות,1
ונעמה,1
ונערכים,1
ונעשתה,1
ונצליח,1
ונשארים,1
וסבלנות,1
וסיסמה,1
וסיפרתי,1
וסלאמתק,1
וספק,3
ועברו,1
ועד,6
ועדה,1
ועדיין,2
ועדין,1
ועדיף,3
ועדכון,1
ועדכנו,1
ועו,1
ועובדים,1
ועוד,9
ועוזרת,1
ועורכת,1
ועושה,2
ועזרה,1
ועידה,1
ועידו,2
ועידוד,1
ועייפים,1
ועיקרי,1
ועכשיו,1
ועל,4
ועליי,1
ועם,4
ועפולה,1
ופה,2
ופונים,1
ופועלים,1
ופיצה,1
ופיקדונות,1
ופיקוד,1
ופלאפון,1
ופמפם,1
ופנה,1
ופנסיונרים,1
ופעיל,1
ופעם,1
ופקע,1
ופקער,1
ופרסומות,1
ופשוט,2
ופתוח,1
וצבע,2
וציינתי,1
וצילום,1
וצלילות,1
וצלצולים,1
וצמוד,1
וצריך,2
וצריכים,4
וצרכיך,1
וקובעים,1
וקופח,1
וקיבלתי,3
וקיבלתם,1
וקללות,1
וקצר,2
וראויה,1
ורגועה,2
ורגישויות,1
ורגישים,1
ורוטט,2
ורוטציה,1
ורטהיימר,1
וריביות,1
וריכוז,1
ורפואה,1
ורצוי,1
ורק,4
ורשמיים,1
ושאלות,1
ושאנו,1
ושאני,1
ושאר,1
ושבוע,1
ושבת,1
ושוב,9
ושום,1
ושומע,1
ושומעים,1
ושזה,1
ושיחות,1
ושיימינג,1
ושילמתי,1
ושירה,1
ושירת,1
ושיש,2
ושישי,1
ושכל,1
ושל,1
ושמים,1
ושמנסים,1
ושנדע,1
ושנית,1
ושעון,1
ושעונים,1
ושקט,4
ושתי,1
ותאמרו,1
ותבדקי,1
ותבחרו,1
ותגשי,1
ותדירות,1
ותדליקי,1
ותהיו,1
ותוכניות,1
ותושבות,1
ותושבים,1
ותחומים,1
ותחושת,1
ותחיה,1
ותחפשי,1
ותירצו,1
ותלוי,1
ותלכי,1
ותמלול,3
ותנצל,1
ותסכול,1
ותעבירי,1
ותפח,1
ותקבלו,4
ותקווה,1
ותרגעי,1
ותרמה,1
ותשובות,1
ותתנצלי,1
זאת,27
זבל,1
זה,336
זהב,1
זהה,1
זהו,7
זו,43
זוג,1
זוועה,1
זוכר,3
זוכרת,3
זול,2
זולה,1
זום,2
זוסמן,2
זועקים,1
זיכוי,1
זיכרון,2
זיכרם,1
זינו,1
זכאות,2
זכאי,1
זכאים,3
זכאית,1
זכויות,5
זכות,4
זכותכם,1
זכינו,1
זכר,1
זכרון,2
זכרוני,1
זכתה,1
זלזול,1
זמינים,2
זמן,13
זמנים,1
זמנית,1
זקוק,6
זקוקה,1
זקוקים,5
זר,1
זרע,1
חבילה,2
חבילות,2
חבילת,1
חבל,10
חבר,3
חברה,9
חברות,2
חברי,3
חבריא,1
חברים,6
חברת,4
חברתי,2
חברתיות,1
חברתיים,1
חד,6
חדיש,1
חדר,1
חדש,10
חדשה,2
חדשות,5
חהעלות,1
חוב,2
חובה,3
חובת,1
חודרניות,1
חודש,7
חודשי,1
חודשיים,2
חודשים,7
חווים,1
חוות,1
חולון,3
חולים,10
חולק,1
חום,1
חוסך,1
חוסכים,1
חוסר,3
חוף,1
חופשי,1
חוץ,3
חוצפה,1
חוק,6
חוקי,2
חוקים,1
חוקתי,1
חורף,1
חוש,1
חושב,7
חושבים,1
חושבת,5
חוששתני,1
חזיוב,1
חזק,11
חזר,1
חזרה,1
חחח,1
חטפו,1
חי,2
חיבור,11
חידוש,1
חיה,1
חיוג,1
חיוך,2
חיון,1
חיזבללה,1
חייב,1
חייבים,5
חייבת,2
חייגו,4
חייגתי,1
חייכם,1
חיילים,1
חיים,8
חילוץ,1
חילקו,6
חינם,3
חינמי,1
חיפה,4
חיצוני,1
חירום,9
חירש,7
חירשים,22
חירשת,3
חכם,34
חכמה,4
חכמים,19
חלה,2
חלופות,1
חלוקה,3
חלוקות,1
חלוקת,12
חלות,1
חלילה,2
חליפיים,1
חלק,12
חלקו,1
חלקינו,1
חלקית,1
חלקכם,1
חלקנו,1
חלש,11
חם,1
חמד,3
חמדנים,1
חמור,3
חמים,1
חן,2
חנויות,2
חנות,1
חניה,2
חסכונות,1
חסר,2
חסרי,2
חפירות,1
חץ,1
חצופים,1
חצי,5
חקיקה,1
חקירה,1
חקלאים,1
חרבות,2
חרדה,1
חרום,1
חרטוטים,1
חריג,1
חריף,1
חרש,1
חרשים,11
חשב,1
חשבון,5
חשבוניות,1
חשבתם,1
חשוב,14
חשובה,4
חשובות,2
חשובים,1
חשיבות,2
חשמל,3
טבעון,2
טבעי,1
טבעת,1
טגףכנית,1
טוב,66
טובה,16
טובות,2
טובים,4
טון,1
טועה,4
טוען,1
טופלה,1
טופס,2
טורחים,1
טי,1
טיבו,1
טיוי,4
טיל,1
טילים,5
טיפ,1
טיפול,2
טיפים,2
טיפלו,1
טיפלתי,1
טכנאי,1
טכנולוגי,1
טכנולוגיה,1
טכנולוגיים,1
טכנולוגית,1
טכנופוביים,1
טכני,1
טכניים,2
טכנית,3
טל,2
טלויזיה,2
טלפון,19
טלפוני,2
טלפוניות,1
טלפונית,3
טלקום,2
טננבאום,1
טעויות,1
טעון,1
טעינה,1
טעיתי,1
טענות,1
טקס,1
טקסט,1
טקסי,2
טרדיס,1
טרודים,1
טרור,2
טרם,2
יא,1
יאללה,4
יבואן,1
יבחר,4
יבין,2
יגבה,1
יגדיר,1
יגיד,3
יגידו,1
יגיע,2
יגיעו,1
יד,3
ידברו,1
ידובר,1
ידונו,1
ידוע,10
ידי,8
ידידה,1
ידיעה,1
ידיעתי,1
ידך,1
ידע,2
ידעתי,1
ידריכו,1
יהוד,4
יהודה,1
יהונתן,1
יהי,1
יהיה,17
יהיו,7
יהרגו,1
יו,1
יובל,6
יודע,15
יודעים,8
יודעת,6
יוותרו,1
יוזמה,5
יוחזרו,1
יוכל,1
יוכלו,3
יום,16
יומי,1
יומיים,1
יוסיף,1
יוסף,1
יועצי,1
יופי,1
יוצא,1
יוצאות,1
יוצר,2
יוקרתי,1
יורדות,1
יורה,1
יורי,7
יושבים,1
יותר,53
יזיק,1
יזרעאל,3
יחד,7
יחולקו,1
יחזקאל,4
יחיד,1
יחיה,1
יחכה,1
יחמיר,1
יחסי,2
יחסית,4
יחפרו,1
יחקור,1
ייאוש,1
ייגמר,1
יידוע,1
יידלק,1
ייהרס,1
ייחודית,1
יינתן,1
ייצא,2
יירבו,1
יירגעו,1
יישאר,1
יישומון,1
יישומים,1
יישלח,1
יישמו,1
יישר,1
ייתכן,2
יכול,26
יכולה,9
יכולות,1
יכולים,9
יכולת,2
יכלו,1
יכלתי,1
יכשל,1
יכתוב,1
ילד,1
ילדים,2
ילחיץ,1
ים,1
ימי,1
ימים,4
ימימה,1
ימית,1
ימליץ,2
ימצא,1
ימשיכו,1
ינגיש,1
יניב,1
יניבו,1
יס,3
יסביר,1
יסכימו,1
יסמין,5
יסמכו,1
יסתדרו,1
יעבדו,2
יעבוד,4
יעזור,5
יעזרו,1
יעיל,7
יעילה,3
יעל,4
יעלה,1
יעלוב,1
יעלי,1
יען,1
יענו,1
יעניין,1
יעקב,5
יעשה,7
יפה,6
יפו,2
יפורסם,1
יפעיל,1
יפעל,1
יפעת,2
יפת,3
יפתחו,1
יצא,3
יצאתי,1
יציאת,1
יצירת,2
יצלצל,4
יצרתי,1
יקבל,2
יקום,1
יקח,2
יקירותי,1
יקנו,1
יקנעם,2
יקפיץ,2
יקצה,1
יקר,5
יקרה,3
יקרים,2
ירבו,1
ירד,1
ירוקות,1
ירושלים,2
ירטוט,2
ירי,2
ירידה,1
ירכשו,2
ירצה,1
יש,210
ישוב,1
ישי,2
ישיר,4
ישירות,5
ישלח,2
ישמע,2
ישמעו,1
ישמשו,2
ישן,1
ישנה,1
ישנו,1
ישנים,1
ישנן,1
ישר,2
ישראכרט,1
ישראל,10
ישראלים,1
ישתין,1
ישתמש,2
ישתמשו,2
יתאים,1
יתאפשר,1
יתבלבלו,1
יתברר,1
יתחיל,1
יתחילו,1
יתמשקו,1
יתן,1
יתנו,1
יתעייפו,1
יתעלם,1
יתקיים,1
יתריע,1
יתרת,1
כאחד,1
כאילו,4
כאירגון,1
כאיש,4
כאלה,8
כאלו,3
כאמצעי,1
כאן,37
כאשר,4
כבד,2
כבדי,12
כבדת,1
כבוד,1
כבלים,2
כבעל,1
כבר,38
כגון,2
כגוף,1
כדאי,14
כדי,35
כה,1
כהן,1
כהתראה,3
כהתרעה,1
כו,6
כוונה,1
כוונתך,1
כוונתם,1
כוח,4
כוחות,4
כוחים,1
כולה,1
כולו,1
כולי,1
כולל,13
כולם,17
כולנו,7
כומתה,10
כומתנה,1
כושל,1
כושלת,1
כושר,3
כותב,3
כותבים,2
כותבת,3
כותרות,1
כזאת,3
כזה,11
כזו,7
כזכאי,1
כחירש,1
כחלק,1
כטוב,1
כי,61
כיוון,1
כיום,3
כינוי,1
כיפת,2
כיצד,3
כיתבו,2
כיתוביות,12
כיתות,1
כך,36
ככ,1
ככבד,1
ככבדת,1
ככה,13
ככזה,1
ככל,3
כל,149
כלא,2
כלול,2
כלום,11
כלומר,5
כלכך,1
כלכלי,3
כלכלית,1
כלל,3
כללי,4
כלליות,1
כללית,3
כלנית,1
כלפי,1
כלקוות,1
כלקויי,2
כלשהו,1
כלשהי,1
כמדומני,1
כמה,33
כמו,36
כמובן,1
כמוהו,1
כמוך,1
כמוכם,2
כמוני,2
כמות,5
כמיליון,1
כמנהלות,1
כמנהלת,3
כמעט,4
כמשהו,1
כן,47
כנ,1
כנגד,1
כנים,1
כניסת,1
כנל,2
כנסו,2
כנסת,1
כנראה,10
כסף,4
כספי,2
כספית,4
כעת,8
כפוגעניות,1
כפויי,1
כפי,7
כפר,3
כפתור,1
כראות,1
כרגע,8
כרית,14
כרצונו,1
כרצועה,1
כשאומרים,1
כשאין,1
כשאני,1
כשאר,1
כשהגדרתי,1
כשהכוונות,1
כשהם,1
כשהתחילו,1
כשזה,4
כשחויג,1
כשיהיה,1
כשיצירת,1
כשיש,8
כשישנים,1
כשכל,1
כשלה,2
כשלוש,1
כשלעצמי,1
כשמגיעים,1
כשמסתובבים,1
כשמעירים,1
כשמתקשרים,1
כשנכנסים,1
כשעה,1
כשצריך,2
כשר,1
כשתהיה,1
כתב,5
כתבה,3
כתבי,1
כתבת,1
כתבתי,6
כתבתם,1
כתוב,9
כתובה,1
כתובות,1
כתוביות,16
כתיב,2
כתפיכם,1
לresound,1
לא,492
לאבטחת,1
לאביזר,1
לאביזרים,1
לאגף,2
לאדם,1
לאוכל,1
לאוכלוסיית,1
לאומי,4
לאור,6
לאורך,1
לאות,1
לאותה,1
לאותו,2
לאזכרה,1
לאזעקות,3
לאח,2
לאחא,1
לאחותי,1
לאחי,1
לאחר,5
לאחרונה,2
לאחרים,1
לאט,1
לאיבוד,1
לאיזה,1
לאיזו,1
לאייל,1
לאייפון,10
לאיכות,2
לאין,1
לאישור,1
לאלפיקציה,1
לאנשים,10
לאסוף,1
לאספקת,1
לאף,3
לאפליקציה,2
לאפליקציות,1
לאפלקצייה,1
לאפשר,2
לארבע,1
לארגן,1
לאתר,3
לאתראה,1
לב,8
לבב,1
לבד,2
לבדוק,6
לבדיקת,1
לבזבז,1
לבחור,8
לבחירה,1
לבטיחות,2
לבטל,1
לביטוח,1
לבין,2
לבירור,1
לבלבול,2
לבלבל,3
לבן,1
לבנון,1
לבנק,5
לבעיות,1
לבעלי,1
לבצע,4
לבקר,2
לבקש,7
לבקשות,1
לברר,4
לבתי,2
לגבול,1
לגבי,16
לגוף,2
לגורמי,1
לגיטימיות,1
לגיל,1
לגלול,2
לגלות,2
לגמרי,4
לגרום,4
לגרור,1
לגרסה,1
לגשר,1
לגשת,1
לדאוג,2
לדבר,8
לדברי,2
לדבריך,1
לדברים,2
לדגם,2
לדוגמה,2
לדוד,1
לדווח,2
לדחוף,1
לדיאלוג,1
לדיון,2
לדייק,1
לדימוי,1
לדעת,16
לדעתי,10
לדף,1
לדפדף,1
לדקת,1
לדרבן,1
לה,21
להאריך,1
להאשים,1
להבא,1
להביא,1
להבין,10
להביע,1
להבנה,1
להבנת,2
להבנתי,1
להגדיר,14
להגדרת,1
להגיב,4
להגיד,9
להגיע,8
להגיש,2
להגשת,1
להדריך,1
להודיע,1
להודעה,1
להוט,1
להומור,1
להוסיך,1
להוסיף,5
להופיע,1
להוציא,1
להוריד,2
להורים,2
להזדהות,2
להזמנת,1
להחזיר,1
להחזר,6
להחליט,3
להחליף,6
להחרגת,1
להחריג,2
להיאבק,1
להיבדק,1
להיום,1
להיות,30
להיכנס,3
להינחם,1
להיעזר,2
להישאר,1
להכוונה,1
להכיר,1
להכניס,1
להכנס,3
להם,25
להמליץ,3
להמלצה,2
להמלצות,2
להמשיך,6
להמשך,1
להמתין,1
להן,1
להנגיש,1
להנגשה,1
להסביר,5
להסיק,1
להסכים,1
להסכמות,1
להספיק,1
להסרה,1
להסתבך,1
להסתובב,2
להסתכל,1
להסתמך,4
להסתנכרן,1
להסתפק,1
להעביר,5
להעדיף,1
להעזר,1
להעיר,1
להעלות,3
להעמיס,1
להעתיק,1
להפגין,1
להפחיד,1
להפיץ,3
להפנות,1
להפסיד,3
להפסיק,1
להפסקת,1
להפעיל,5
להפצה,1
להפריע,1
להצביע,1
להצטרף,4
להצטרפות,5
להציל,2
להציע,2
להציף,1
להצלחתו,1
להצעות,1
להצעתו,1
להקיש,1
להקל,1
להקליד,2
להקשיב,1
להראות,1
להרגיש,2
להרגע,3
להרווחה,1
להרחיב,1
להרים,1
להשאיר,1
להשוות,2
להשיג,6
להשמיץ,1
להשקיע,3
להשתיק,1
להשתלט,1
להשתמש,9
להשתנות,1
להשתתף,1
להתאים,4
להתבייש,1
להתגבר,1
להתגייס,1
להתווכח,3
להתחבר,4
להתייחס,1
להתלונן,1
להתמודד,1
להתממשק,3
להתמקד,1
להתמקח,1
להתנהלות,1
להתנסח,1
להתסיס,1
להתקדם,1
להתקין,3
להתקנתה,1
להתקשר,3
להתראה,1
להתראות,11
להתריע,2
לו,35
לוד,1
לוואטסאפ,1
לוועדה,1
לוועדת,2
לוותר,1
לומדים,1
לומר,3
לוק,1
לוקה,2
לוקח,1
לוקחות,2
לוקחים,1
לוקחת,1
לזה,18
לזהות,2
לזוועות,1
לזום,2
לזכאים,1
לזכויות,1
לזכור,2
לזכר,1
לזכרםשל,1
לזמן,1
לזרוע,1
לחבר,3
לחברות,1
לחברי,2
לחברים,1
לחדד,1
לחדול,1
לחדש,1
לחודש,2
לחוסר,2
לחזור,1
לחזק,1
לחיבור,2
לחיוב,1
לחיות,1
לחייך,1
לחילופין,2
לחילוץ,2
לחיצה,1
לחירשים,7
לחכות,1
לחלוטין,1
לחלוק,1
לחלוקה,5
לחלות,1
לחלק,3
לחלקנו,1
לחנות,2
לחסד,1
לחסכון,1
לחפש,3
לחץ,2
לחצים,1
לחצן,1
לחצתי,1
לחקלאות,1
לחרשים,2
לחשבון,1
לחשוב,1
לטוב,1
לטובת,3
לטילים,1
לטיפול,1
לטלפון,4
לטעון,1
לטעינה,2
לטעמי,1
לטענות,1
לטפל,3
לי,109
ליאת,3
ליבו,1
ליבואן,2
ליד,6
לידו,1
לידיעת,1
לידיעתך,1
ליהונתן,1
ליהי,10
ליווי,1
ליום,1
ליידע,1
לייצור,1
לייצר,1
ליכולת,1
לילד,2
לילדים,1
לילה,3
לימים,2
לינק,4
ליעקב,1
ליעקוב,1
ליצור,3
ליקוי,1
ליקויית,1
לירות,1
לירית,5
לישון,6
לך,37
לכאורה,1
לכאן,3
לכבדי,5
לכבות,3
לכו,3
לכוון,1
לכוחה,1
לכולם,16
לכולנו,3
לכומתה,3
לכזה,2
לכיוון,1
לכיסא,1
לכך,4
לכל,23
לכלל,1
לכם,14
לכמה,2
לכמות,2
לכמעט,1
לכן,9
לכעוס,1
לכרגע,1
לכרית,1
לכשיתאפשר,1
לכת,1
לכתוב,7
לכתוביות,1
ללא,20
ללחוץ,2
ללינק,2
ללכת,1
ללקוי,1
ללקויי,2
ללקחת,1
ללשכות,1
למארוול,1
למבוגרים,1
למגוון,1
למגוחך,1
למדינה,1
למה,20
למודעות,1
למועדון,1
למועצה,1
למוצר,1
למוצרים,1
למוקד,1
למזכירות,3
למחבלים,1
למחוק,2
למחלקות,1
למחלקת,1
למחר,1
למטה,4
למטרה,1
למטרות,1
למטרת,1
למי,39
למידע,4
למיטב,2
למייל,2
למילה,1
למיניהם,3
למיקום,6
למישהו,5
למכבי,3
למכור,4
למכלול,1
למכשירי,1
למלא,2
למלאי,1
למלחמה,1
לממ,2
לממד,1
לממיר,1
לממן,1
לממש,1
למנהל,1
למנהלת,1
למנוי,1
למנויים,1
למנוע,1
למסור,1
למסירה,1
למסמך,1
למספר,10
למעט,1
למעלה,2
למען,4
למענה,2
למעננו,1
למערך,1
למפגש,1
למצב,5
למצוא,2
למקבל,1
למקום,2
למקור,1
למקרה,1
למקרים,1
למרות,4
למרחב,2
למרכז,1
למשהו,4
למשוכלל,1
למשטרה,1
למשיבים,1
למשל,12
למשפחה,1
למשרד,14
למשתמשי,2
לנגישות,1
לנהוג,1
לנהל,1
לנו,21
לנוסח,1
לנוע,1
לנושא,4
לנייד,7
לנכון,1
לנכים,1
לנסות,8
לנסיעה,1
לנצל,4
לנקודות,1
לנשאל,1
לנשום,1
לנשמה,1
לנשק,1
לסביבה,1
לסגור,3
לסדר,1
לסוג,1
לסיוע,6
לסייג,1
לסייע,2
לסינון,1
לסך,1
לסכום,1
לסל,4
לסמארטפונים,1
לסמוך,6
לסמסונג,1
לספור,1
לספיר,1
לספק,2
לספר,1
לסקר,2
לעבוד,4
לעבודה,3
לעבור,5
לעבר,1
לעגני,1
לעדיפו,1
לעדכון,1
לעדכן,3
לעו,3
לעובדת,1
לעוד,3
לעודד,2
לעוטף,1
לעולם,1
לעומת,3
לעורך,1
לעזאזל,1
לעזוב,1
לעזור,11
לעזרה,3
לעזרת,1
לעידו,3
לעיוור,4
לעיל,1
לעיר,1
לעירי,1
לעיריה,5
לעירייה,2
לעיתים,6
לעכשיו,2
לעלות,4
לעמוד,4
לעמותה,1
לעמותות,1
לענוד,1
לענות,3
לעניות,2
לעניין,1
לענין,1
לעצור,2
לעצמו,2
לעצמם,2
לעצתכם,1
לעקוב,4
לערבב,1
לערוצים,2
לערך,1
לעשות,27
לעשייה,1
לעת,1
לפגוע,1
לפה,3
לפון,1
לפוסטים,1
לפועל,4
לפחות,5
לפי,24
לפיו,1
לפינה,1
לפיקוד,4
לפיקוח,1
לפלא,1
לפלאפון,5
לפלאפונים,2
לפלסטינים,1
לפנות,20
לפני,26
לפניות,1
לפספס,2
לפעול,2
לפעם,1
לפעמים,4
לפקע,1
לפרגן,1
לפרטים,2
לפרסומות,1
לפרסם,1
לפשוט,1
לפשל,1
לפתוח,1
לפתח,3
לצאת,3
לצבא,1
לצד,1
לצורך,6
לצורכי,1
לציבור,2
לציון,5
לציין,6
לצלם,1
לצלצול,1
לצלצל,1
לצערי,9
לצערנו,1
לצפות,1
לצפייה,1
לצרכי,1
לצרכים,1
לצרכן,2
לצרף,1
לקבוע,3
לקבוצה,30
לקבוצות,1
לקבוצת,2
לקביעת,1
לקבל,37
לקבלת,2
לקדם,6
לקהילה,1
לקהילת,2
לקוי,9
לקויי,5
לקויית,1
לקופ,1
לקות,9
לקחת,3
לקטיף,1
לקטנות,1
לקידום,1
לקיים,1
לקיפוח,1
לקישור,1
לקלל,2
לקנות,16
לקצה,1
לקראת,1
לקרוא,5
לקרות,1
לקריות,1
לקשקש,1
לראות,5
לראש,1
לראשון,1
לרדת,2
לרוב,4
לרוטטות,1
לרוטציה,1
לרוץ,1
לרזולציות,1
לרטט,1
לריב,1
לרכוש,9
לרכישת,1
לרסיבר,1
לרעהו,1
לרעיון,1
לרענן,1
לרשויות,2
לרשום,3
לרשות,5
לרשימה,2
לרשימות,1
לרשימת,1
לשאול,3
לשאלה,3
לשאלות,3
לשאת,1
לשבועיים,1
לשבט,1
לשבת,2
לשדרג,2
לשוחח,1
לשומעים,1
לשומרי,2
לשון,1
לשחרר,1
לשיחה,2
לשיחות,3
לשילוב,1
לשים,7
לשימוש,4
לשיפור,6
לשירות,2
לשירותים,1
לשכוח,1
לשלוח,11
לשלול,2
לשלומך,1
לשלי,1
לשלם,4
לשם,2
לשמוח,1
לשמוע,14
לשמור,2
לשמים,1
לשנה,1
לשנות,9
לשני,1
לשנייה,1
לשעבר,2
לשעון,9
לשעונים,3
לשעות,2
לשפוט,3
לשפת,6
לשרות,1
לשרותי,1
לשרת,1
